policy,model_type,n_estimators,max_depth,num_leaves,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
ML_Reg_t50_d3_l8,ML_Reg,50,3,8,0.5358,2.2825,1.229,14.857,1565.5
ML_Reg_t100_d4_l15,ML_Reg,100,4,15,0.5381,2.2852,1.249,15.02,1598.8
ML_Reg_t200_d6_l31,ML_Reg,200,6,31,0.524,2.2791,1.242,15.02,1507.5
ML_Reg_t500_d6_l31,ML_Reg,500,6,31,0.542,2.2756,1.198,15.02,1476.2
ML_Reg_t300_d8_l63,ML_Reg,300,8,63,0.5313,2.2783,1.299,15.062,1443.0
ML_Reg_t500_d8_l63,ML_Reg,500,8,63,0.5321,2.2759,1.331,18.359,1440.7
ML_Reg_t1000_d10_l127,ML_Reg,1000,10,127,0.5823,2.2583,1.177,15.0,1548.9
ML_Rank_t50_d3_l8,ML_Rank,50,3,8,0.5492,2.2843,1.124,11.68,1600.5
ML_Rank_t100_d4_l15,ML_Rank,100,4,15,0.5233,2.2898,1.186,15.02,1604.8
ML_Rank_t200_d6_l31,ML_Rank,200,6,31,0.568,2.2719,1.243,13.487,1479.0
ML_Rank_t500_d6_l31,ML_Rank,500,6,31,0.5373,2.2662,5.023,15.02,1475.8
ML_Rank_t300_d8_l63,ML_Rank,300,8,63,0.5365,2.2658,4.602,15.02,1508.9
ML_Rank_t500_d8_l63,ML_Rank,500,8,63,0.574,2.2691,1.158,15.02,1462.1
ML_Rank_t1000_d10_l127,ML_Rank,1000,10,127,0.5091,2.2861,1.269,15.02,1601.0
LRU,baseline,0,0,0,0.7561,2.1976,0.642,9.961,1396.0
Decay,baseline,0,0,0,0.7474,2.2197,0.626,8.789,1431.2
OPT_Reg_t50_d3_l8,OPT_Imit_Reg,50,3,8,0.5464,2.2789,1.214,15.02,1238.4
OPT_Reg_t100_d4_l15,OPT_Imit_Reg,100,4,15,0.5513,2.2632,4.132,11.68,1257.4
OPT_Reg_t200_d6_l31,OPT_Imit_Reg,200,6,31,0.5437,2.2813,1.116,11.68,1262.5
OPT_Reg_t500_d6_l31,OPT_Imit_Reg,500,6,31,0.5558,2.2835,1.058,11.68,1268.2
OPT_Reg_t300_d8_l63,OPT_Imit_Reg,300,8,63,0.5417,2.2825,1.154,12.577,1290.7
OPT_Reg_t500_d8_l63,OPT_Imit_Reg,500,8,63,0.5492,2.2859,1.06,11.68,1260.9
OPT_Reg_t1000_d10_l127,OPT_Imit_Reg,1000,10,127,0.5362,2.2868,1.113,11.68,1251.9
OPT_Rank_t50_d3_l8,OPT_Imit_Rank,50,3,8,0.6887,2.2313,0.787,10.01,1234.0
OPT_Rank_t100_d4_l15,OPT_Imit_Rank,100,4,15,0.701,2.2266,0.758,10.0,1262.5
OPT_Rank_t200_d6_l31,OPT_Imit_Rank,200,6,31,0.7005,2.2272,0.756,10.0,1278.4
OPT_Rank_t500_d6_l31,OPT_Imit_Rank,500,6,31,0.7005,2.2272,0.756,10.0,1271.8
OPT_Rank_t300_d8_l63,OPT_Imit_Rank,300,8,63,0.6957,2.2282,0.764,10.0,1252.2
OPT_Rank_t500_d8_l63,OPT_Imit_Rank,500,8,63,0.6957,2.2282,0.764,10.0,1290.9
OPT_Rank_t1000_d10_l127,OPT_Imit_Rank,1000,10,127,0.6997,2.2264,0.762,10.0,1291.1
