policy,scenario,train_group,eval_group,sat_shards,eval_shards,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
LRU,baseline,c1g1,c1g1,4-5,4-5,0.7561,2.1976,0.642,9.961,1457.4
Decay,baseline,c1g1,c1g1,4-5,4-5,0.7474,2.2197,0.626,8.789,1550.3
ML_Reg,baseline,c1g1,c1g1,4-5,4-5,0.5954,2.2546,1.058,12.224,1803.5
ML_Rank,baseline,c1g1,c1g1,4-5,4-5,0.582,2.2593,1.03,11.68,1843.4
OPT_Imit_Reg,baseline,c1g1,c1g1,4-5,4-5,0.5553,2.2838,1.059,11.68,1812.0
OPT_Imit_Rank,baseline,c1g1,c1g1,4-5,4-5,0.701,2.2266,0.758,10.0,1884.2
LRU,native_c1g2,c1g2,c1g2,4-5,4-5,0.7486,2.2365,0.6,10.0,906.4
Decay,native_c1g2,c1g2,c1g2,4-5,4-5,0.7393,2.2552,0.584,10.0,854.8
ML_Reg,native_c1g2,c1g2,c1g2,4-5,4-5,0.6125,2.3189,0.828,12.592,948.5
ML_Rank,native_c1g2,c1g2,c1g2,4-5,4-5,0.6251,2.3182,0.738,10.01,940.0
OPT_Imit_Reg,native_c1g2,c1g2,c1g2,4-5,4-5,0.6434,2.3062,0.701,10.01,836.1
OPT_Imit_Rank,native_c1g2,c1g2,c1g2,4-5,4-5,0.7019,2.2802,0.612,10.0,865.0
LRU,native_c3g1,c3g1,c3g1,4-5,4-5,0.8665,2.1368,0.402,10.0,515.5
Decay,native_c3g1,c3g1,c3g1,4-5,4-5,0.8612,2.1522,0.385,10.0,519.4
ML_Reg,native_c3g1,c3g1,c3g1,4-5,4-5,0.6805,2.2087,0.68,10.01,608.0
ML_Rank,native_c3g1,c3g1,c3g1,4-5,4-5,0.6291,2.2426,0.815,15.02,633.6
OPT_Imit_Reg,native_c3g1,c3g1,c3g1,4-5,4-5,0.8014,2.1706,0.445,10.01,566.7
OPT_Imit_Rank,native_c3g1,c3g1,c3g1,4-5,4-5,0.8543,2.156,0.39,10.0,562.1
