policy,cache_size_label,cache_bytes,hit_rate,wa,mean_resp_ms,p99_resp_ms,wall_s
Hybrid_ML_Reg_p25,512MB,536870912,0.0074,2.4666,48.305,1366.864,2010.1
Hybrid_OPT_Rank_p10,512MB,536870912,0.0074,2.468,48.423,1369.751,1790.4
Hybrid_ML_Reg_p25,1GB,1073741824,0.0127,2.4489,48.159,1366.864,1669.9
Hybrid_OPT_Rank_p10,1GB,1073741824,0.0186,2.4175,47.83,1362.058,1553.7
Hybrid_ML_Reg_p25,2GB,2147483648,0.0316,2.4197,48.598,1392.917,1467.7
Hybrid_OPT_Rank_p10,2GB,2147483648,0.0284,2.4295,48.715,1403.562,1384.9
Hybrid_ML_Reg_p25,5GB,5368709120,0.1103,2.3234,29.277,321.258,1407.3
Hybrid_OPT_Rank_p10,5GB,5368709120,0.1078,2.3264,29.472,324.87,1393.0
Hybrid_ML_Reg_p25,10GB,10737418240,0.736,2.2206,0.672,9.766,1317.8
Hybrid_OPT_Rank_p10,10GB,10737418240,0.7361,2.224,0.653,9.512,1254.2
Hybrid_ML_Reg_p25,20GB,21474836480,0.8046,2.1973,0.575,7.666,1306.4
Hybrid_OPT_Rank_p10,20GB,21474836480,0.8075,2.1957,0.571,7.607,1290.1
Hybrid_ML_Reg_p25,100GB,107374182400,0.8997,2.1521,0.47,6.816,1556.3
